Dates conducted,Polling organisation/client,Sample size,Con,Lab,Lib,UKIP,Grn,Others,Lead,date_year_appended,end_date
21–22 Feb,YouGov/The Sun,2372,37%,43%,9%,4%,2%,5% BNP on 2%,6%,21–22 Feb 2011,2011-02-22
20–21 Feb,YouGov/The Sun[permanent dead link‍],2630,36%,42%,11%,11%,11%,11%,6%,20–21 Feb 2011,2011-02-21
21–23 Feb,ICM/The Guardian[17],1000,35%,38%,18%,2%,1%,6%,3%,21–23 Feb 2011,2011-02-23
18–20 Feb,Ipsos MORI/Reuters,1002,33%,43%,13%,3%,3%,5%,10%,18–20 Feb 2011,2011-02-20
17–18 Feb,YouGov/Sunday Times,2464,37%,41%,10%,3%,2%,6%,4%,17–18 Feb 2011,2011-02-18
16–17 Feb,YouGov/The Sun,2643,36%,42%,10%,4%,2%,5% BNP on 2%,6%,16–17 Feb 2011,2011-02-17
15–16 Feb,YouGov/The Sun,TBC,35%,45%,10%,10%,10%,10%,10%,15–16 Feb 2011,2011-02-16
14–15 Feb,YouGov/The Sun,2502,37%,44%,10%,4%,2%,4%,7%,14–15 Feb 2011,2011-02-15
13–14 Feb,YouGov/The Sun,2736,36%,44%,10%,4%,2%,4% BNP on 2%,8%,13–14 Feb 2011,2011-02-14
10–11 Feb,YouGov/Sunday Times,2419,35%,45%,9%,4%,2%,5%,10%,10–11 Feb 2011,2011-02-11
9–10 Feb,YouGov/The Sun,2474,35%,44%,10%,4%,2%,6% BNP on 2%,9%,9–10 Feb 2011,2011-02-10
9–10 Feb,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link‍],2009,36%,42%,11%,5%,2%,4%,6%,9–10 Feb 2011,2011-02-10
8–10 Feb,Angus Reid Public Opinion,2019,34%,40%,11%,6%,9%,9%,6%,8–10 Feb 2011,2011-02-10
8–9 Feb,YouGov/The Sun,2339,36%,43%,10%,4%,1%,6% BNP on 2%,7%,8–9 Feb 2011,2011-02-09
7–8 Feb,YouGov/The Sun,2483,35%,43%,10%,5%,2%,4% BNP on 1%,8%,7–8 Feb 2011,2011-02-08
6–7 Feb,YouGov/The Sun,2278,37%,43%,9%,4%,3%,3% BNP on 1%,6%,6–7 Feb 2011,2011-02-07
4–6 Feb,Populus/The Times[18],1510,36%,39%,11%,3%,4%,7%,3%,4–6 Feb 2011,2011-02-06
3–4 Feb,YouGov/Sunday Times,2283,36%,42%,10%,5%,3%,3%,6%,3–4 Feb 2011,2011-02-04
2–3 Feb,YouGov/The Sunday Times,2051,37%,44%,9%,3%,2%,5%,7%,2–3 Feb 2011,2011-02-03
1–2 Feb,YouGov/The Sun,2409,36%,44%,9%,4%,2%,4% BNP on 2%,8%,1–2 Feb 2011,2011-02-02
31 Jan–1 Feb,YouGov/The Sun,1922,39%,44%,8%,4%,1%,5% BNP on 2%,5%,31 Jan–1 Feb 2011,2011-02-01
30–31 Jan,YouGov/The Sun,2032,40%,42%,8%,4%,1%,6% BNP on 2%,2%,30–31 Jan 2011,2011-01-31
28–30 Jan,ComRes/The Independent[permanent dead link‍],1002,34%,43%,10%,2%,4%,7%,9%,28–30 Jan 2011,2011-01-30
27–28 Jan,Angus Reid Public Opinion/Sunday Express,2323,32%,43%,11%,4%,10%,10%,11%,27–28 Jan 2011,2011-01-28
27–28 Jan,YouGov/Sunday Times,2234,39%,43%,8%,4%,1%,5%,4%,27–28 Jan 2011,2011-01-28
26–27 Jan,YouGov/The Sun,1835,38%,44%,8%,4%,2%,4% BNP on 1%,6%,26–27 Jan 2011,2011-01-27
25–26 Jan,YouGov/The Sun,2139,39%,41%,10%,5%,2%,4% BNP on 1%,2%,25–26 Jan 2011,2011-01-26
25–26 Jan,Angus Reid Public Opinion/PoliticalBetting.com,2010,33%,41%,12%,6%,9%,9%,8%,25–26 Jan 2011,2011-01-26
24–25 Jan,YouGov/The Sun,1816,37%,43%,10%,4%,2%,4% BNP on 2%,6%,24–25 Jan 2011,2011-01-25
23–24 Jan,YouGov/The Sun,2003,37%,42%,11%,4%,2%,5% BNP on 1%,5%,23–24 Jan 2011,2011-01-24
21–24 Jan,Ipsos MORI/Reuters,1162,33%,43%,13%,4%,3%,4%,10%,21–24 Jan 2011,2011-01-24
21–23 Jan,ICM/The Guardian[17],1000,35%,39%,15%,2%,3%,5%,4%,21–23 Jan 2011,2011-01-23
20–21 Jan,YouGov/Sunday Times,1699,39%,43%,9%,5%,2%,3%,4%,20–21 Jan 2011,2011-01-21
19–20 Jan,YouGov/The Sun,1860,36%,43%,10%,5%,2%,4% BNP on 2%,7%,19–20 Jan 2011,2011-01-20
18–19 Jan,YouGov/The Sun,1993,37%,42%,9%,5%,2%,5%|BNP on 2% SNP/PC on 2% Other on 1%|headerstyle=font-weight:normal;line-height:9px;},5%,18–19 Jan 2011,2011-01-19
17–18 Jan,YouGov/The Sun,1884,39%,44%,8%,3%,2%,5%|BNP on 1% SNP/PC on 3% Other on 1%|headerstyle=font-weight:normal;line-height:9px;},5%,17–18 Jan 2011,2011-01-18
16–17 Jan,YouGov/The Sun,1977,37%,42%,9%,5%,2%,4%|BNP on 1% SNP/PC on 2% Other on 1%|headerstyle=font-weight:normal;line-height:9px;},5%,16–17 Jan 2011,2011-01-17
13–14 Jan,YouGov/The Sunday Times,1865,37%,43%,9%,4%,3%,4%,6%,13–14 Jan 2011,2011-01-14
13 Jan,2011 Oldham East and Saddleworth by-election,2011 Oldham East and Saddleworth by-election,2011 Oldham East and Saddleworth by-election,2011 Oldham East and Saddleworth by-election,2011 Oldham East and Saddleworth by-election,2011 Oldham East and Saddleworth by-election,2011 Oldham East and Saddleworth by-election,2011 Oldham East and Saddleworth by-election,2011 Oldham East and Saddleworth by-election,13 Jan 2011,2011-01-13
12–13 Jan,ComRes/Sunday Mirror/Independent on Sunday[permanent dead link‍],2006,36%,40%,10%,5%,3%,6%,4%,12–13 Jan 2011,2011-01-13
12–13 Jan,YouGov/The Sun,1884,41%,41%,8%,4%,2%,5%|BNP on 2% SNP/PC on 2% Other on 1%|headerstyle=font-weight:normal;line-height:9px;},Tie,12–13 Jan 2011,2011-01-13
11–12 Jan,YouGov/The Sun,1812,36%,43%,9%,5%,2%,4%|BNP on 1% SNP/PC on 2% Other on 1%|headerstyle=font-weight:normal;line-height:9px;},7%,11–12 Jan 2011,2011-01-12
10–11 Jan,YouGov/The Sun,1857,40%,41%,7%,5%,2%,4%|BNP on 2% SNP/PC on 2% Other on 0%|headerstyle=font-weight:normal;line-height:9px;},1%,10–11 Jan 2011,2011-01-11
8–10 Jan,YouGov/Sunday Times,2283,40%,43%,8%,4%,2%,3%,3%,8–10 Jan 2011,2011-01-10
7–9 Jan,ComRes/The Independent[permanent dead link‍],1000,34%,42%,12%,2%,5%,5%,8%,7–9 Jan 2011,2011-01-09
6–7 Jan,Angus Reid Public Opinion[usurped],2010,35%,40%,12%,5%,2%,7%,5%,6–7 Jan 2011,2011-01-07
6–7 Jan,YouGov/Sunday Times,1797,38%,41%,10%,4%,2%,4%,3%,6–7 Jan 2011,2011-01-07
5–6 Jan,YouGov/The Sun,1862,39%,43%,7%,4%,2%,5%|BNP on 2% SNP/PC on 2% Other on 1%|headerstyle=font-weight:normal;line-height:9px;},4%,5–6 Jan 2011,2011-01-06
4–5 Jan,YouGov/The Sun,TBC,40%,41%,10%,7%,7%,7%,1%,4–5 Jan 2011,2011-01-05
3–4 Jan,YouGov/The Sun,1876,40%,42%,8%,4%,2%,5%|BNP on 2% SNP/PC on 2% Other on 1%|headerstyle=font-weight:normal;line-height:9px;},2%,3–4 Jan 2011,2011-01-04
Date(s) conducted,Polling organisation/client,Sample size,,,,,,Others,Lead,Date(s) conducted 2010,
22–23 Dec,YouGov/The Sun,1635,39%,41%,9%,5%,2%,5% BNP on 3% SNP/PC on 1% Other on 1%,2%,22–23 Dec 2010,2010-12-23
21–22 Dec,YouGov/The Sun,1695,41%,42%,8%,3%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,1%,21–22 Dec 2010,2010-12-22
20–21 Dec,YouGov/The Sun,2032,40%,42%,9%,4%,2%,3% BNP on 1% SNP/PC on 1% Other on 1%,2%,20–21 Dec 2010,2010-12-21
19–20 Dec,YouGov/The Sun,2039,40%,43%,8%,3%,2%,3% BNP on 1% SNP/PC on 1% Other on 1%,3%,19–20 Dec 2010,2010-12-20
17–20 Dec,Angus Reid Public Opinion[usurped],2003,35%,41%,9%,5%,3%,7%,6%,17–20 Dec 2010,2010-12-20
16–19 Dec,ICM/The Guardian[17],736,37%,39%,13%,2%,2%,7%,2%,16–19 Dec 2010,2010-12-19
17 Dec,Opinium,–,37%,37%,12%,14%,14%,14%,Tie,17 Dec 2010,2010-12-17
16–17 Dec,YouGov/Sunday Times,1966,39%,42%,9%,4%,2%,4%,3%,16–17 Dec 2010,2010-12-17
15–16 Dec,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link‍],2017,37%,39%,11%,5%,2%,6%,2%,15–16 Dec 2010,2010-12-16
15–16 Dec,YouGov/The Sun,1922,41%,41%,9%,5%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,Tie,15–16 Dec 2010,2010-12-16
14–15 Dec,YouGov/The Sun,2022,42%,40%,8%,3%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,2%,14–15 Dec 2010,2010-12-15
13–14 Dec,YouGov/The Sun,1810,39%,42%,9%,4%,1%,4% BNP on 2% SNP/PC on 1% Other on 1%,3%,13–14 Dec 2010,2010-12-14
12–13 Dec,YouGov/The Sun,2092,41%,42%,9%,4%,2%,3% BNP on 1% SNP/PC on 2% Other on 0%,1%,12–13 Dec 2010,2010-12-13
10–12 Dec,Ipsos MORI/Reuters,1004,38%,39%,11%,4%,4%,6%,1%,10–12 Dec 2010,2010-12-12
10 Dec,Opinium,–,37%,36%,12%,15%,15%,15%,1%,10 Dec 2010,2010-12-10
9–10 Dec,YouGov/Sunday Times,1937,40%,42%,9%,3%,1%,6%,2%,9–10 Dec 2010,2010-12-10
8–9 Dec,YouGov/The Sun,1982,41%,39%,11%,3%,2%,4%,2%,8–9 Dec 2010,2010-12-09
8 Dec,Opinium,–,38%,37%,11%,14%,14%,14%,1%,8 Dec 2010,2010-12-08
7–8 Dec,YouGov/The Sun,1966,41%,41%,8%,3%,2%,4% BNP on 2% SNP/PC on 2% Other on 0%,Tie,7–8 Dec 2010,2010-12-08
6–7 Dec,YouGov/The Sun,2109,42%,39%,9%,4%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,3%,6–7 Dec 2010,2010-12-07
5–6 Dec,YouGov/The Sun,1991,42%,39%,10%,3%,1%,5% BNP on 2% SNP/PC on 2% Other on 1%,3%,5–6 Dec 2010,2010-12-06
2–3 Dec,YouGov/Sunday Times,1916,41%,39%,10%,5%,2%,3%,2%,2–3 Dec 2010,2010-12-03
2 Dec,Opinium,–,38%,34%,13%,15%,15%,15%,4%,2 Dec 2010,2010-12-02
1–2 Dec,YouGov/The Sun,1934,40%,40%,11%,3%,1%,5% BNP on 2% SNP/PC on 2% Other on 1%,Tie,1–2 Dec 2010,2010-12-02
30 Nov–1 Dec,YouGov/The Sun,2080,41%,38%,11%,3%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,3%,30 Nov–1 Dec 2010,2010-12-01
29–30 Nov,Angus Reid Public Opinion[usurped],2004,35%,40%,13%,4%,8%,8%,5%,29–30 Nov 2010,2010-11-30
29–30 Nov,YouGov/The Sun,1975,40%,40%,10%,4%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,Tie,29–30 Nov 2010,2010-11-30
28–29 Nov,YouGov/The Sun,2114,40%,40%,10%,4%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,Tie,28–29 Nov 2010,2010-11-29
26–29 Nov,ComRes/The Independent[permanent dead link‍],1006,36%,40%,12%,2%,4%,6%,4%,26–29 Nov 2010,2010-11-29
26 Nov,Opinium,–,37%,35%,14%,14%,14%,14%,2%,26 Nov 2010,2010-11-26
25–26 Nov,YouGov/Sunday Times,1711,40%,40%,9%,4%,2%,5%,Tie,25–26 Nov 2010,2010-11-26
24–25 Nov,YouGov/The Sun,2024,42%,39%,10%,3%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,3%,24–25 Nov 2010,2010-11-25
23–24 Nov,YouGov/The Sun,2053,40%,40%,9%,4%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,Tie,23–24 Nov 2010,2010-11-24
22–23 Nov,YouGov/The Sun,1968,42%,40%,10%,3%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,2%,22–23 Nov 2010,2010-11-23
21–22 Nov,YouGov/The Sun,2080,41%,38%,11%,4%,2%,4% BNP on 2% SNP/PC on 2% Other on 0%,3%,21–22 Nov 2010,2010-11-22
19–21 Nov,ICM/The Guardian[17],1000,36%,38%,14%,3%,2%,7%,2%,19–21 Nov 2010,2010-11-21
18–19 Nov,YouGov/Sunday Times,1967,40%,38%,11%,4%,2%,5%,2%,18–19 Nov 2010,2010-11-19
17–19 Nov,ComRes/Sunday Mirror/The Independent on Sunday[permanent dead link‍],2015,37%,38%,13%,4%,3%,5%,1%,17–19 Nov 2010,2010-11-19
17–18 Nov,YouGov/The Sun,2007,40%,40%,11%,3%,1%,4% BNP on 1% SNP/PC on 3% Other on 0%,Tie,17–18 Nov 2010,2010-11-18
17 Nov,Opinium,–,38%,34%,13%,15%,15%,15%,4%,17 Nov 2010,2010-11-17
16–17 Nov,YouGov/The Sun,2082,40%,40%,11%,3%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,Tie,16–17 Nov 2010,2010-11-17
15–16 Nov,YouGov/The Sun,2050,37%,42%,10%,5%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,5%,15–16 Nov 2010,2010-11-16
14–15 Nov,YouGov/The Sun,2050,40%,42%,10%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,2%,14–15 Nov 2010,2010-11-15
12–14 Nov,Ipsos MORI/Reuters,1005,36%,39%,14%,2%,4%,5%,3%,12–14 Nov 2010,2010-11-14
11–12 Nov,YouGov/Sunday Times,1930,39%,41%,10%,3%,1%,5%,2%,11–12 Nov 2010,2010-11-12
10–11 Nov,YouGov/The Sun,2013,40%,40%,10%,4%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,Tie,10–11 Nov 2010,2010-11-11
9–10 Nov,YouGov/The Sun,1933,42%,37%,11%,4%,1%,5% BNP on 1% SNP/PC on 3% Other on 1%,5%,9–10 Nov 2010,2010-11-10
9 Nov,Opinium,–,39%,33%,14%,14%,14%,14%,6%,9 Nov 2010,2010-11-09
8–9 Nov,YouGov/The Sun,1936,40%,39%,13%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,1%,8–9 Nov 2010,2010-11-09
7–8 Nov,YouGov/The Sun,2109,42%,39%,11%,4%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,3%,7–8 Nov 2010,2010-11-08
5 Nov,Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),5 Nov 2010,2010-11-05
4–5 Nov,YouGov/Sunday Times,1954,40%,39%,12%,3%,2%,5%,1%,4–5 Nov 2010,2010-11-05
3–4 Nov,YouGov/The Sun,1980,40%,39%,11%,3%,2%,5% BNP on 1% SNP/PC on 3% Other on 1%,1%,3–4 Nov 2010,2010-11-04
2–3 Nov,YouGov/The Sun,2036,40%,40%,9%,3%,2%,5% BNP on 1% SNP/PC on 3% Other on 1%,Tie,2–3 Nov 2010,2010-11-03
1–2 Nov,YouGov/The Sun,2006,41%,40%,11%,3%,1%,3% BNP on 1% SNP/PC on 2% Other on 0%,1%,1–2 Nov 2010,2010-11-02
31 Oct–1 Nov,YouGov/The Sun,2132,41%,39%,11%,4%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,2%,31 Oct–1 Nov 2010,2010-11-01
29–30 Oct,ComRes/The Independent[permanent dead link‍],1000,35%,37%,16%,2%,4%,6%,2%,29–30 Oct 2010,2010-10-30
29 Oct,Opinium,–,38%,35%,13%,14%,14%,14%,3%,29 Oct 2010,2010-10-29
28–29 Oct,YouGov/Sunday Times,2058,42%,37%,13%,3%,1%,4%,5%,28–29 Oct 2010,2010-10-29
27–28 Oct,Angus Reid Public Opinion[usurped],2015,35%,37%,15%,3%,2%,8%,2%,27–28 Oct 2010,2010-10-28
27–28 Oct,YouGov/The Sun,1986,41%,39%,11%,3%,2%,6% BNP on 2% SNP/PC on 3% Other on 1%,2%,27–28 Oct 2010,2010-10-28
26–27 Oct,YouGov/The Sun,2108,41%,39%,12%,2%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,2%,26–27 Oct 2010,2010-10-27
25–26 Oct,YouGov/The Sun,2651,40%,38%,12%,2%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,2%,25–26 Oct 2010,2010-10-26
24–25 Oct,YouGov/The Sun,1967,40%,40%,11%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,Tie,24–25 Oct 2010,2010-10-25
22–24 Oct,ICM/The Guardian[17],1002,39%,36%,16%,1%,1%,7%,3%,22–24 Oct 2010,2010-10-24
22–24 Oct,Populus/The Times[18],1000,37%,38%,15%,3%,3%,5%,1%,22–24 Oct 2010,2010-10-24
21–22 Oct,YouGov/Sunday Times,1845,41%,40%,10%,2%,2%,5%,1%,21–22 Oct 2010,2010-10-22
21–22 Oct,ICM/News of the World[17],1025,40%,36%,16%,2%,1%,5%,4%,21–22 Oct 2010,2010-10-22
20–21 Oct,YouGov/The Sun,1874,41%,40%,10%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,1%,20–21 Oct 2010,2010-10-21
19–20 Oct,YouGov/The Sun,1936,41%,39%,11%,2%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,2%,19–20 Oct 2010,2010-10-20
18–19 Oct,YouGov/The Sun,2099,42%,39%,11%,2%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,3%,18–19 Oct 2010,2010-10-19
17–18 Oct,YouGov/The Sun,1991,41%,39%,12%,2%,1%,3% BNP on 1% SNP/PC on 1% Other on 1%,2%,17–18 Oct 2010,2010-10-18
17 Oct,YouGov/Sunday Times,–,41%,39%,11%,8%,8%,8%,2%,17 Oct 2010,2010-10-17
15–17 Oct,Ipsos MORI/Reuters,1009,39%,36%,14%,3%,3%,5%,3%,15–17 Oct 2010,2010-10-17
14–15 Oct,YouGov/Sunday Times,1898,41%,39%,11%,3%,1%,5%,2%,14–15 Oct 2010,2010-10-15
13–15 Oct,ComRes/The Independent on Sunday/Sunday Mirror,2009,40%,34%,14%,12%,12%,12%,6%,13–15 Oct 2010,2010-10-15
13–14 Oct,YouGov/The Sun,1838,42%,38%,12%,3%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,4%,13–14 Oct 2010,2010-10-14
12–13 Oct,YouGov/The Sun,1959,41%,40%,11%,3%,1%,4%,1%,12–13 Oct 2010,2010-10-13
11–12 Oct,YouGov/The Sun,2047,43%,36%,12%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,7%,11–12 Oct 2010,2010-10-12
10–11 Oct,YouGov/The Sun,2090,42%,38%,12%,2%,1%,5% BNP on 2% SNP/PC on 2% Other on 1%,4%,10–11 Oct 2010,2010-10-11
7–8 Oct,YouGov/Sunday Times,1890,42%,38%,12%,3%,1%,4%,4%,7–8 Oct 2010,2010-10-08
6–7 Oct,ICM/Sunday Telegraph,1002,38%,34%,18%,2%,2%,6%,4%,6–7 Oct 2010,2010-10-07
6–7 Oct,YouGov/The Sun,1903,42%,38%,12%,3%,1%,5% BNP on 2% SNP/PC on 2% Other on 1%,4%,6–7 Oct 2010,2010-10-07
5–6 Oct,YouGov/The Sun,1955,42%,40%,11%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,2%,5–6 Oct 2010,2010-10-06
4–5 Oct,YouGov/The Sun,2057,43%,39%,11%,2%,1%,3% BNP on 1% SNP/PC on 2% Other on 0%,4%,4–5 Oct 2010,2010-10-05
3–4 Oct,YouGov/The Sun,2108,41%,39%,12%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,2%,3–4 Oct 2010,2010-10-04
30 Sep–1 Oct,YouGov/Sunday Times,1796,39%,41%,11%,2%,2%,4%,2%,30 Sep–1 Oct 2010,2010-10-01
30 Sep–1 Oct,Angus Reid Public Opinion[permanent dead link‍],2004,35%,38%,16%,4%,7%,7%,3%,30 Sep–1 Oct 2010,2010-10-01
29 Sep–1 Oct,ComRes/The Independent[permanent dead link‍],2035,39%,36%,15%,4%,3%,10%,3%,29 Sep–1 Oct 2010,2010-10-01
29–30 Sep,YouGov/The Sun,3127,41%,39%,12%,3%,1%,4% BNP on 2% SNP/PC on 2% Other on 0%,2%,29–30 Sep 2010,2010-09-30
28–29 Sep,YouGov/The Sun,1916,41%,39%,12%,3%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,2%,28–29 Sep 2010,2010-09-29
28–29 Sep,ICM/The Guardian[17],1005,35%,37%,18%,3%,1%,6%,3%,28–29 Sep 2010,2010-09-29
27–28 Sep,YouGov/The Sun,1896,41%,40%,12%,2%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,1%,27–28 Sep 2010,2010-09-28
26–27 Sep,YouGov/The Sun,1948,39%,40%,12%,3%,1%,6% BNP on 2% SNP/PC on 3% Other on 1%,1%,26–27 Sep 2010,2010-09-27
25 Sep,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,25 Sep 2010,2010-09-25
23–24 Sep,YouGov/Sunday Times,1905,39%,38%,15%,3%,2%,4%,1%,23–24 Sep 2010,2010-09-24
22–23 Sep,YouGov/The Sun,2013,41%,37%,13%,2%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,4%,22–23 Sep 2010,2010-09-23
21–22 Sep,YouGov/The Sun,1649,43%,36%,14%,2%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,7%,21–22 Sep 2010,2010-09-22
20–21 Sep,YouGov/The Sun,1963,39%,39%,13%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,Tie,20–21 Sep 2010,2010-09-21
19–20 Sep,YouGov/The Sun,2156,42%,38%,11%,3%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,4%,19–20 Sep 2010,2010-09-20
17 Sep,Opinium,–,37%,35%,13%,15%,15%,15%,2%,17 Sep 2010,2010-09-17
16–17 Sep,YouGov/Sunday Times,1984,41%,39%,13%,3%,1%,3%,3%,16–17 Sep 2010,2010-09-17
14–16 Sep,ComRes/Sunday Mirror/The Independent on Sunday[permanent dead link‍],2028,37%,35%,15%,13%,13%,13%,2%,14–16 Sep 2010,2010-09-16
15–16 Sep,YouGov/The Sun,1996,41%,38%,12%,3%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,3%,15–16 Sep 2010,2010-09-16
14–15 Sep,YouGov/The Sun,1971,42%,39%,12%,2%,2%,2% BNP on 1% SNP/PC on 1% Other on 0%,3%,14–15 Sep 2010,2010-09-15
13–14 Sep,YouGov/The Sun,1913,40%,39%,12%,2%,1%,5% BNP on 2% SNP/PC on 3% Other on 0%,2%,13–14 Sep 2010,2010-09-14
12–13 Sep,YouGov/The Sun,2108,41%,38%,12%,2%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,3%,12–13 Sep 2010,2010-09-13
10–12 Sep,Populus/The Times[18],1508,39%,37%,14%,2%,2%,5%,2%,10–12 Sep 2010,2010-09-12
10–12 Sep,Ipsos MORI/Reuters,1004,37%,37%,15%,2%,3%,6%,Tie,10–12 Sep 2010,2010-09-12
9–10 Sep,YouGov/Sunday Times,1858,42%,38%,14%,2%,1%,3%,4%,9–10 Sep 2010,2010-09-10
8–9 Sep,YouGov/The Sun,1948,42%,37%,14%,2%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,5%,8–9 Sep 2010,2010-09-09
7–8 Sep,YouGov/The Sun,1967,43%,38%,12%,2%,2%,3% BNP on 1% SNP/PC on 1% Other on 1%,5%,7–8 Sep 2010,2010-09-08
6–7 Sep,YouGov/The Sun,2089,42%,38%,13%,2%,1%,4% BNP on 2% SNP/PC on 2% Other on 0%,4%,6–7 Sep 2010,2010-09-07
5–6 Sep,YouGov/The Sun,2089,42%,37%,13%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,5%,5–6 Sep 2010,2010-09-06
3–5 Sep,ComRes/The Independent,1000,38%,34%,18%,10%,10%,10%,4%,3–5 Sep 2010,2010-09-05
2–3 Sep,YouGov/Sunday Times,1849,42%,37%,12%,3%,2%,4%,5%,2–3 Sep 2010,2010-09-03
1–2 Sep,YouGov/The Sun[permanent dead link‍],–,42%,37%,12%,9%,9%,9%,5%,1–2 Sep 2010,2010-09-02
31 Aug–1 Sep,YouGov/The Sun,1923,43%,37%,12%,3%,2%,3%2% BNP on 1% SNP/PC on 2% Other on 1%,6%,31 Aug–1 Sep 2010,2010-09-01
30–31 Aug,YouGov/The Sun,1548,43%,38%,11%,2%,1%,4% BNP on 2% SNP/PC on 2% Other on 0%,5%,30–31 Aug 2010,2010-08-31
26–27 Aug,YouGov/Sunday Times,1872,41%,37%,13%,3%,1%,4%,4%,26–27 Aug 2010,2010-08-27
25–26 Aug,YouGov/The Sun,2046,42%,37%,12%,3%,1%,5%2% BNP on 2% SNP/PC on 2% Other on 1%,5%,25–26 Aug 2010,2010-08-26
24–25 Aug,YouGov/The Sun,2030,42%,37%,12%,2%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,5%,24–25 Aug 2010,2010-08-25
23–24 Aug,YouGov/The Sun,2011,41%,38%,13%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,3%,23–24 Aug 2010,2010-08-24
22–23 Aug,YouGov/The Sun,2088,41%,39%,12%,4%,2%,3% BNP on 1% SNP/PC on 2% Other on 0%,2%,22–23 Aug 2010,2010-08-23
19–20 Aug,YouGov/Sunday Times,1953,41%,38%,12%,3%,1%,4%,3%,19–20 Aug 2010,2010-08-20
18–19 Aug,YouGov/The Sun,1970,41%,37%,14%,3%,1%,5% BNP on 2% SNP/PC on 2% Other on 1%,4%,18–19 Aug 2010,2010-08-19
17–18 Aug,YouGov/The Sun,2095,44%,36%,12%,2%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,8%,17–18 Aug 2010,2010-08-18
16–17 Aug,YouGov/The Sun,2059,42%,37%,14%,2%,1%,4% BNP on 2% SNP/PC on 1% Other on 1%,5%,16–17 Aug 2010,2010-08-17
15–16 Aug,YouGov/The Sun,2125,41%,37%,15%,2%,1%,3% BNP on 1% SNP/PC on 1% Other on 1%,4%,15–16 Aug 2010,2010-08-16
13–15 Aug,ICM/The Guardian[17],1001,37%,37%,18%,2%,2%,4%,Tie,13–15 Aug 2010,2010-08-15
13–15 Aug,ComRes/Daily Mirror/GMTV[permanent dead link‍],939,39%,33%,15%,2%,3%,8%,6%,13–15 Aug 2010,2010-08-15
13 Aug,Opinium,–,39%,30%,16%,15%,15%,15%,9%,13 Aug 2010,2010-08-13
